page_type,page,keyword,avg_monthly,competition,source_run,source_file,recommendation,reason
L2 Product,Wall Tiles,kitchen wall tiles design in chennai,50,Unknown,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Wall Tiles,kitchen wall tiles price in chennai,50,Unknown,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Wall Tiles,rak wall tiles price list,50,Unknown,2.0,rak-wide.csv,Keep,Relevant
L2 Product,Wall Tiles,wall tiles chennai,50,Medium,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Wall Tiles,wall tiles price in chennai,50,Medium,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Wall Tiles,agl bathroom wall tiles,50,Unknown,2.0,agl-wide.csv,Maybe,Low and non-local signal
L2 Product,Wall Tiles,agl kitchen wall tiles,50,Unknown,2.0,agl-wide.csv,Maybe,Low and non-local signal
L1 Product,Sanitaryware & Bathroom Fittings,bathroom fittings chennai,500,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Sanitaryware & Bathroom Fittings,bathroom fittings wholesale in chennai,500,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Sanitaryware & Bathroom Fittings,bathroom fittings chennai parrys,50,Medium,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Sanitaryware & Bathroom Fittings,bathroom fittings manufacturers in chennai,50,Unknown,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Sanitaryware & Bathroom Fittings,bathroom fittings showroom in chennai,50,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Sanitaryware & Bathroom Fittings,best bathroom fittings in chennai,50,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Sanitaryware & Bathroom Fittings,cera sanitaryware dealers in chennai,50,Low,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Sanitaryware & Bathroom Fittings,hindware sanitaryware chennai,50,Medium,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Sanitaryware & Bathroom Fittings,hindware sanitaryware dealers in chennai,50,Unknown,2.0,hindware.csv,Keep,Relevant
L1 Product,Sanitaryware & Bathroom Fittings,hindware sanitaryware dealers near me,50,High,2.0,hindware-wide.csv,Keep,Relevant
L1 Product,Sanitaryware & Bathroom Fittings,ik classiva premium tiles and sanitaryware in kilpauk chennai,50,Low,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L1 Product,Sanitaryware & Bathroom Fittings,jaquar bathroom fittings chennai,50,Medium,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Toilets and Water Closets,western toilet price chennai,500,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Toilets and Water Closets,cera western toilet price in chennai,50,Unknown,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Toilets and Water Closets,grohe wall hung toilet price,50,High,2.0,grohe-wide.csv,Keep,Relevant
L2 Product,Toilets and Water Closets,grohe wc price,50,Low,2.0,grohe-wide.csv,Keep,Relevant
L2 Product,Toilets and Water Closets,handicap toilet accessories near me,50,High,2.0,differently-abled-wide.csv,Keep,Relevant
L2 Product,Toilets and Water Closets,hindustan western toilet price in chennai,50,Unknown,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Toilets and Water Closets,hindware automatic toilet price,50,Unknown,2.0,hindware-wide.csv,Keep,Relevant
L2 Product,Toilets and Water Closets,hindware bathroom hindware indian toilet seat price,50,Low,2.0,hindware-wide.csv,Keep,Relevant
L2 Product,Toilets and Water Closets,hindware english toilet seat price,50,Unknown,2.0,hindware-wide.csv,Keep,Relevant
L2 Product,Toilets and Water Closets,hindware floor mounted wc price,50,Unknown,2.0,hindware-wide.csv,Keep,Relevant
L2 Product,Toilets and Water Closets,hindware italian collection toilet seat price,50,Low,2.0,hindware-wide.csv,Keep,Relevant
L2 Product,Toilets and Water Closets,hindware one piece toilet price,50,Unknown,2.0,hindware-wide.csv,Keep,Relevant
L2 Product,Urinals,bathroom urinal price,50,Unknown,2.0,urinals-wide.csv,Keep,Relevant
L2 Product,Urinals,hindware urinal 60002 price,50,Low,2.0,hindware-wide.csv,Keep,Relevant
L2 Product,Urinals,hindware urinal basin price,50,Low,2.0,hindware-wide.csv,Keep,Relevant
L2 Product,Urinals,hindware urinal pot price,50,Unknown,2.0,hindware-wide.csv,Keep,Relevant
L2 Product,Urinals,hindware urinal price,50,Low,2.0,hindware-wide.csv,Keep,Relevant
L2 Product,Urinals,jaquar urinal price,50,Low,2.0,urinals-wide.csv,Keep,Relevant
L2 Product,Urinals,kerovit urinal price,50,Low,2.0,urinals-wide.csv,Keep,Relevant
L2 Product,Urinals,ladies urinal hindware price,50,Unknown,2.0,hindware-wide.csv,Keep,Relevant
L2 Product,Urinals,mens urinal price,50,High,2.0,urinals-wide.csv,Keep,Relevant
L2 Product,Urinals,parryware flat back urinal price,50,Low,2.0,urinals-wide.csv,Keep,Relevant
L2 Product,Urinals,public urinal near me,50,Low,2.0,commercial-restroom-room-page-wide.csv,Keep,Relevant
L2 Product,Urinals,urinal cera price,50,Unknown,2.0,urinals-wide.csv,Keep,Relevant
L2 Product,Wash Basins,designer wash basin chennai,50,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Wash Basins,designer wash basin in chennai,50,Medium,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Wash Basins,grohe wash basin price,50,Low,2.0,grohe-wide.csv,Keep,Relevant
L2 Product,Wash Basins,hindware toilet basin price,50,Unknown,2.0,hindware-wide.csv,Keep,Relevant
L2 Product,Wash Basins,hindware urinal basin price,50,Low,2.0,hindware-wide.csv,Keep,Relevant
L2 Product,Wash Basins,parryware wash basin price in chennai,50,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Wash Basins,rak basin price,50,Unknown,2.0,rak-wide.csv,Keep,Relevant
L2 Product,Wash Basins,rak ceramics basin price,50,Unknown,2.0,rak-wide.csv,Keep,Relevant
L2 Product,Wash Basins,rak ceramics wash basin price,50,Unknown,2.0,rak-wide.csv,Keep,Relevant
L2 Product,Wash Basins,rak wash basin price,50,High,2.0,rak-wide.csv,Keep,Relevant
L2 Product,Wash Basins,stainless steel wash basin price in chennai,50,Unknown,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Wash Basins,wash basin chennai,50,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Taps & Faucets,grohe health faucet price,50,High,2.0,grohe-wide.csv,Keep,Relevant
L2 Product,Taps & Faucets,hindware toilet hand shower price,50,Unknown,2.0,hindware-wide.csv,Keep,Relevant
L2 Product,Taps & Faucets,ao smith faucet,50,Unknown,2.0,ao-smith-wide.csv,Maybe,Low and non-local signal
L2 Product,Taps & Faucets,commercial lavatory faucet,50,Unknown,2.0,floor-drain-wide.csv,Maybe,Low and non-local signal
L2 Product,Taps & Faucets,franke sinks and faucets,50,Unknown,2.0,franke-wide.csv,Maybe,Low and non-local signal
L2 Product,Taps & Faucets,grohe automatic faucet,50,Unknown,2.0,grohe-wide.csv,Maybe,Low and non-local signal
L2 Product,Taps & Faucets,grohe bathroom faucets,50,High,2.0,grohe-wide.csv,Maybe,Low and non-local signal
L2 Product,Taps & Faucets,grohe bathroom sink faucets,50,Unknown,2.0,grohe-wide.csv,Maybe,Low and non-local signal
L2 Product,Taps & Faucets,grohe bathtub faucet,50,High,2.0,grohe-wide.csv,Maybe,Low and non-local signal
L2 Product,Taps & Faucets,grohe concetto faucet,50,High,2.0,grohe-wide.csv,Maybe,Low and non-local signal
L2 Product,Taps & Faucets,grohe eurosmart faucet,50,Unknown,2.0,grohe-wide.csv,Maybe,Low and non-local signal
L2 Product,Taps & Faucets,grohe faucets,50,Medium,2.0,grohe-wide.csv,Maybe,Low and non-local signal
L2 Product,Bath & Wellness,bathtub chennai,50,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Bath & Wellness,bathtub rooms in chennai,50,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Bath & Wellness,hindware bathtub price in chennai,50,Unknown,2.0,hindware.csv,Keep,Relevant
L2 Product,Bath & Wellness,jacuzzi bath in chennai,50,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Bath & Wellness,jacuzzi bathtub chennai,50,Unknown,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Bath & Wellness,rooms with bathtub in chennai,50,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Bath & Wellness,shower enclosure chennai,50,Medium,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Bath & Wellness,alcove acrylic bathtub,50,Unknown,2.0,floor-drain-wide.csv,Maybe,Low and non-local signal
L2 Product,Bath & Wellness,bathtub aids for disabled,50,Unknown,2.0,differently-abled-wide.csv,Maybe,Low and non-local signal
L2 Product,Bath & Wellness,bathtub equipment for disabled,50,Unknown,2.0,differently-abled-wide.csv,Maybe,Low and non-local signal
L2 Product,Bath & Wellness,bathtub leaking,50,Medium,2.0,floor-drain-wide.csv,Maybe,Low and non-local signal
L2 Product,Bath & Wellness,bathtub overflow,50,Low,2.0,floor-drain-wide.csv,Maybe,Low and non-local signal
L2 Product,Bathroom Accessories,bathroom accessories chennai,500,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Bathroom Accessories,bathroom accessories shop in chennai,50,High,1.0,DEDUPED_KEYWORDS_MASTER.csv,Keep,Relevant
L2 Product,Bathroom Accessories,bathroom accessories disabled persons,50,High,2.0,differently-abled-wide.csv,Maybe,Low and non-local signal
L2 Product,Bathroom Accessories,disabled bathroom accessories,50,High,2.0,differently-abled-wide.csv,Maybe,Low and non-local signal
L2 Product,Bathroom Accessories,grohe bathroom accessories,50,Medium,2.0,grohe-wide.csv,Maybe,Low and non-local signal
L2 Product,Bathroom Accessories,grohe essentials towel ring,50,Unknown,2.0,grohe-wide.csv,Maybe,Low and non-local signal
L2 Product,Bathroom Accessories,grohe towel ring,50,Unknown,2.0,grohe-wide.csv,Maybe,Low and non-local signal
L2 Product,Bathroom Accessories,handicap bathroom accessories,50,High,2.0,differently-abled-wide.csv,Maybe,Low and non-local signal
L2 Product,Bathroom Accessories,public bathroom accessories,50,Unknown,2.0,commercial-restroom-room-page-wide.csv,Maybe,Low and non-local signal
L2 Product,Bathroom Accessories,public restroom toilet paper holder,50,Unknown,2.0,commercial-restroom-room-page-wide.csv,Maybe,Low and non-local signal
L2 Product,Bathroom Accessories,handicap bathroom accessories chennai,0,Unknown,2.0,differently-abled-wide.csv,Drop,No volume
L2 Product,Bathroom Accessories,handicap bathroom accessories near me,0,Unknown,2.0,differently-abled-wide.csv,Drop,No volume
